,Protein_Group,Protein_Ids,Protein_Names,Genes,First_Protein_Description,1139,3058,Peptides
546,Q80W00,Q80W00,PP1RA_MOUSE,Ppp1r10,Serine/threonine-protein phosphatase 1 regulatory subunit 10,0.0,74159.9,
547,Q6P2K6,Q6P2K6;Q922R5,P4R3A_MOUSE,Ppp4r3a,Serine/threonine-protein phosphatase 4 regulatory subunit 3A,0.0,57699.7,
548,Q9CQR6,Q9CQR6,PPP6_MOUSE,Ppp6c,Serine/threonine-protein phosphatase 6 catalytic subunit,0.0,12699.3,
549,Q8R3Q2,Q8R3Q2,PP6R2_MOUSE,Ppp6r2,Serine/threonine-protein phosphatase 6 regulatory subunit 2,0.0,42977.1,
550,Q8BX10,Q8BX10,PGAM5_MOUSE,Pgam5,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",0.0,32553.2,
551,Q99MR6,Q99MR6,SRRT_MOUSE,Srrt,Serrate RNA effector molecule homolog,0.0,48399.8,
552,Q8R550,Q8R550,SH3K1_MOUSE,Sh3kbp1,SH3 domain-containing kinase-binding protein 1,0.0,13786.9,
553,Q8CAK3,Q8CAK3,SHFL_MOUSE,Shfl,Shiftless antiviral inhibitor of ribosomal frameshifting protein homolog,0.0,376276.0,
554,P47758,P47758,SRPRB_MOUSE,Srprb,Signal recognition particle receptor subunit beta,0.0,45204.5,
555,Q8BMA6,Q8BMA6,SRP68_MOUSE,Srp68,Signal recognition particle subunit SRP68,0.0,17135.1,
556,P42225,P42225,STAT1_MOUSE,Stat1,Signal transducer and activator of transcription 1,0.0,33795.5,
557,Q9CYZ8,Q9CYZ8,SSBP2_MOUSE,Ssbp2,Single-stranded DNA-binding protein 2,0.0,65784.0,
558,Q9D032,Q9D032,SSBP3_MOUSE,Ssbp3,Single-stranded DNA-binding protein 3,0.0,19615.7,
559,Q91Z67,Q91Z67,SRGP2_MOUSE,Srgap2,SLIT-ROBO Rho GTPase-activating protein 2,0.0,10790.8,
560,Q9R0P4,Q9R0P4,SMAP_MOUSE,Smap,Small acidic protein,0.0,167652.0,
561,P62307,P62307,RUXF_MOUSE,Snrpf,Small nuclear ribonucleoprotein F,0.0,48836.5,
562,P62315,P62315,SMD1_MOUSE,Snrpd1,Small nuclear ribonucleoprotein Sm D1,0.0,87748.5,
563,P62320,P62320,SMD3_MOUSE,Snrpd3,Small nuclear ribonucleoprotein Sm D3,0.0,182879.0,
564,Q9CSN1,Q9CSN1,SNW1_MOUSE,Snw1,SNW domain-containing protein 1,0.0,200637.0,
565,Q761V0,Q761V0,SC6A5_MOUSE,Slc6a5,Sodium- and chloride-dependent glycine transporter 2,0.0,7456.12,
566,Q8K596,Q8K596,NAC2_MOUSE,Slc8a2,Sodium/calcium exchanger 2,0.0,28446.9,
567,Q6P069,Q6P069,SORCN_MOUSE,Sri,Sorcin,0.0,8141.77,
568,Q9WV80,Q9WV80,SNX1_MOUSE,Snx1,Sorting nexin-1,0.0,11026.7,
569,O70492,O70492,SNX3_MOUSE,Snx3,Sorting nexin-3,0.0,55105.2,
570,Q7TNE3,Q7TNE3,SPAG7_MOUSE,Spag7,Sperm-associated antigen 7,0.0,29324.1,
571,Q91WM1,Q91WM1,STRBP_MOUSE,Strbp,Spermatid perinuclear RNA-binding protein,0.0,424445.0,
572,Q9JIA7,Q9JIA7,SPHK2_MOUSE,Sphk2,Sphingosine kinase 2,0.0,31341.0,
573,Q64213,Q64213,SF01_MOUSE,Sf1,Splicing factor 1,0.0,1332640.0,
574,Q62203,Q62203,SF3A2_MOUSE,Sf3a2,Splicing factor 3A subunit 2,0.0,144015.0,
575,Q9D554,Q9D554,SF3A3_MOUSE,Sf3a3,Splicing factor 3A subunit 3,0.0,390235.0,
576,Q921M3,Q921M3,SF3B3_MOUSE,Sf3b3,Splicing factor 3B subunit 3,0.0,45994.2,
577,Q8QZY9,Q8QZY9,SF3B4_MOUSE,Sf3b4,Splicing factor 3B subunit 4,0.0,45826.7,
578,Q5U4C3,Q5U4C3,SFR19_MOUSE,Scaf1,"Splicing factor, arginine/serine-rich 19",0.0,18427.7,
579,Q3USH5,Q3USH5,SFSWA_MOUSE,Sfswap,"Splicing factor, suppressor of white-apricot homolog",0.0,20305.9,
580,Q80YT9,Q80YT9,RBM11_MOUSE,Rbm11,Splicing regulator RBM11,0.0,63227.9,
581,Q7TSH6,Q7TSH6,SCAF4_MOUSE,Scaf4,SR-related and CTD-associated factor 4,0.0,85631.5,
582,Q6DID3,Q6DID3,SCAF8_MOUSE,Scaf8,SR-related and CTD-associated factor 8,0.0,219305.0,
583,O54781,O54781,SRPK2_MOUSE,Srpk2,SRSF protein kinase 2,0.0,48936.2,
584,Q7TST3,Q7TST3,SAM10_MOUSE,Samd10,Sterile alpha motif domain-containing protein 10,0.0,13980.1,
585,Q8VDP2,Q8VDP2,STEEP_MOUSE,Steep1,STING ER exit protein,0.0,29078.4,
586,Q9CW03,Q9CW03,SMC3_MOUSE,Smc3,Structural maintenance of chromosomes protein 3,0.0,15179.3,
587,Q8K2B3,Q8K2B3,SDHA_MOUSE,Sdha,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",0.0,55240.1,
588,Q9CQA3,Q9CQA3,SDHB_MOUSE,Sdhb,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",0.0,23826.8,
589,Q9R1T2,Q9R1T2,SAE1_MOUSE,Sae1,SUMO-activating enzyme subunit 1,0.0,16995.4,
590,Q8CH02,Q8CH02,SUGP1_MOUSE,Sugp1,SURP and G-patch domain-containing protein 1,0.0,52218.4,
591,P97801,P97801,SMN_MOUSE,Smn1,Survival motor neuron protein,0.0,12415.9,
592,Q91ZW3,Q91ZW3,SMCA5_MOUSE,Smarca5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,0.0,31335.5,
593,Q8BJL0,Q8BJL0,SMAL1_MOUSE,Smarcal1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1,0.0,91412.2,
594,Q9Z0H3,Q9Z0H3,SNF5_MOUSE,Smarcb1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,0.0,68255.6,
595,Q61466,Q61466,SMRD1_MOUSE,Smarcd1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1,0.0,40524.6,
596,Q6P9Z1,Q6P9Z1,SMRD3_MOUSE,Smarcd3,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3,0.0,16994.4,
597,Q80X82,Q80X82,SYMPK_MOUSE,Sympk,Symplekin,0.0,17668.0,
598,Q80TB8,Q80TB8,VAT1L_MOUSE,Vat1l,Synaptic vesicle membrane protein VAT-1 homolog-like,0.0,49032.5,
599,Q62209,Q62209,SYCP1_MOUSE,Sycp1,Synaptonemal complex protein 1,0.0,30314.6,
600,Q8CC35,Q8CC35,SYNPO_MOUSE,Synpo,Synaptopodin,0.0,41020.1,
601,Q3TIR3,Q3TIR3;Q80XE1,RIC8A_MOUSE,Ric8a,Synembryn-A,0.0,11692.1,
602,Q91WQ5,Q91WQ5,TAF5L_MOUSE,Taf5l,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L,0.0,10690.0,
603,Q8R2K4,Q8R2K4,TAF6L_MOUSE,Taf6l,TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L,0.0,43648.2,
604,Q9D2E2,Q9D2E2,TOE1_MOUSE,Toe1,Target of EGR1 protein 1,0.0,9741.29,
605,Q6PCN3,Q6PCN3,TTBK1_MOUSE,Ttbk1,Tau-tubulin kinase 1,0.0,15600.0,
606,Q9Z1A9,Q9Z1A9,TBCD8_MOUSE,Tbc1d8,TBC1 domain family member 8,0.0,28779.9,
607,Q9D735,Q9D735,TRIR_MOUSE,Trir,Telomerase RNA component interacting RNase,0.0,49275.5,
608,Q9WTS4,Q9WTS4,TEN1_MOUSE,Tenm1,Teneurin-1,0.0,16490.7,
609,Q8VD63,Q8VD63,TSYL4_MOUSE,Tspyl4,Testis-specific Y-encoded-like protein 4,0.0,35709.1,
610,Q91Z38,Q91Z38,TTC1_MOUSE,Ttc1,Tetratricopeptide repeat protein 1,0.0,10450.5,
611,Q8R3N6,Q8R3N6,THOC1_MOUSE,Thoc1,THO complex subunit 1,0.0,40738.0,
612,B1AZI6,B1AZI6,THOC2_MOUSE,Thoc2,THO complex subunit 2,0.0,87559.4,
613,O08583,O08583;Q9JJW6,THOC4_MOUSE,Alyref,THO complex subunit 4,0.0,134772.0,
614,Q8BKT7,Q8BKT7,THOC5_MOUSE,Thoc5,THO complex subunit 5 homolog,0.0,37120.3,
615,Q5U4D9,Q5U4D9,THOC6_MOUSE,Thoc6,THO complex subunit 6 homolog,0.0,29259.3,
616,Q8BH55,Q8BH55,THNS1_MOUSE,Thnsl1,Threonine synthase-like 1,0.0,29568.1,
617,Q9Z0U1,Q9Z0U1,ZO2_MOUSE,Tjp2,Tight junction protein ZO-2,0.0,29788.5,
618,Q8BH58,Q8BH58,TIPRL_MOUSE,Tiprl,TIP41-like protein,0.0,20151.0,
619,Q9QZ06,Q9QZ06,TOLIP_MOUSE,Tollip,Toll-interacting protein,0.0,22223.8,
620,Q8BU11,Q8BU11,TOX4_MOUSE,Tox4,TOX high mobility group box family member 4,0.0,60212.8,
621,P10711,P10711;Q9QVN7,TCEA1_MOUSE,Tcea1,Transcription elongation factor A protein 1,0.0,52313.4,
622,Q9EPQ8,Q9EPQ8,TCF20_MOUSE,Tcf20,Transcription factor 20,0.0,62137.1,
623,Q8R3L2,Q8R3L2,TCF25_MOUSE,Tcf25,Transcription factor 25,0.0,53610.8,
624,Q61687,Q61687,ATRX_MOUSE,Atrx,Transcriptional regulator ATRX,0.0,24729.7,
625,B1AY10,B1AY10,NFX1_MOUSE,Nfx1,Transcriptional repressor NF-X1,0.0,27443.0,
626,Q80YV3,Q80YV3,TRRAP_MOUSE,Trrap,Transformation/transcription domain-associated protein,0.0,10010.1,
627,Q6Y685;Q9JJG0,Q6Y685;Q9JJG0,TACC1_MOUSE;TACC2_MOUSE,Tacc1;Tacc2,Transforming acidic coiled-coil-containing protein 1,0.0,20272.1,
628,Q5SYH2,Q5SYH2,TM199_MOUSE,Tmem199,Transmembrane protein 199,0.0,0.0,
629,Q9DAM7,Q9DAM7,TM263_MOUSE,Tmem263,Transmembrane protein 263,0.0,51622.3,
630,Q9CR67,Q9CR67,TMM33_MOUSE,Tmem33,Transmembrane protein 33,0.0,40288.4,
631,A2AAE1,A2AAE1,K1109_MOUSE,Kiaa1109,Transmembrane protein KIAA1109,0.0,13806.4,
632,Q6P2B1,Q6P2B1,TNPO3_MOUSE,Tnpo3,Transportin-3,0.0,11683.6,
633,Q8JZU2,Q8JZU2,TXTP_MOUSE,Slc25a1,"Tricarboxylate transport protein, mitochondrial",0.0,15111.1,
634,Q3UHC0,Q3UHC0,TNR6C_MOUSE,Tnrc6c,Trinucleotide repeat-containing gene 6C protein,0.0,21328.3,
635,Q9R1R2,Q9R1R2,TRIM3_MOUSE,Trim3,Tripartite motif-containing protein 3,0.0,49928.5,
636,Q7TNM2,Q7TNM2,TRI46_MOUSE,Trim46,Tripartite motif-containing protein 46,0.0,11169.5,
637,Q8CE96,Q8CE96,TRM6_MOUSE,Trmt6,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,0.0,11190.9,
638,P62500,P62500,T22D1_MOUSE,Tsc22d1,TSC22 domain family protein 1,0.0,16415.0,
639,P50586,P50586,TUB_MOUSE,Tub,Tubby protein,0.0,7333.52,
640,Q9CRB6,Q9CRB6,TPPP3_MOUSE,Tppp3,Tubulin polymerization-promoting protein family member 3,0.0,13442.8,
641,Q8BYA0,Q8BYA0,TBCD_MOUSE,Tbcd,Tubulin-specific chaperone D,0.0,34382.5,
642,Q91W18,Q91W18,TDRD3_MOUSE,Tdrd3,Tudor domain-containing protein 3,0.0,52136.5,
643,Q9ERA6,Q9ERA6,TFP11_MOUSE,Tfip11,Tuftelin-interacting protein 11,0.0,126517.0,
644,Q9WU22,Q9WU22,PTN4_MOUSE,Ptpn4,Tyrosine-protein phosphatase non-receptor type 4,0.0,31142.0,
645,O35239,O35239,PTN9_MOUSE,Ptpn9,Tyrosine-protein phosphatase non-receptor type 9,0.0,31311.2,
646,Q9JJX7,Q9JJX7,TYDP2_MOUSE,Tdp2,Tyrosyl-DNA phosphodiesterase 2,0.0,67342.5,
647,Q62376,Q62376,RU17_MOUSE,Snrnp70,U1 small nuclear ribonucleoprotein 70 kDa,0.0,261339.0,
648,Q62189,Q62189,SNRPA_MOUSE,Snrpa,U1 small nuclear ribonucleoprotein A,0.0,80384.3,
649,Q62241,Q62241,RU1C_MOUSE,Snrpc,U1 small nuclear ribonucleoprotein C,0.0,88227.0,
650,P57784,P57784,RU2A_MOUSE,Snrpa1,U2 small nuclear ribonucleoprotein A',0.0,47787.3,
651,Q64707,Q64707;Q62377,U2AFL_MOUSE,Zrsr1,U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 1,0.0,35286.4,
652,Q810V0,Q810V0,MPP10_MOUSE,Mphosph10,U3 small nucleolar ribonucleoprotein protein MPP10,0.0,40173.0,
653,Q8CCF0,Q8CCF0,PRP31_MOUSE,Prpf31,U4/U6 small nuclear ribonucleoprotein Prp31,0.0,53956.1,
654,Q9DAW6,Q9DAW6,PRP4_MOUSE,Prpf4,U4/U6 small nuclear ribonucleoprotein Prp4,0.0,162736.0,
655,Q6P4T2,Q6P4T2,U520_MOUSE,Snrnp200,U5 small nuclear ribonucleoprotein 200 kDa helicase,0.0,344663.0,
656,Q6PE01,Q6PE01,SNR40_MOUSE,Snrnp40,U5 small nuclear ribonucleoprotein 40 kDa protein,0.0,37319.3,
657,Q8BUV6,Q8BUV6,LSM11_MOUSE,Lsm11,U7 snRNA-associated Sm-like protein LSm11,0.0,90306.3,
658,P52479,P52479,UBP10_MOUSE,Usp10,Ubiquitin carboxyl-terminal hydrolase 10,0.0,90595.5,
659,Q8R5H1,Q8R5H1,UBP15_MOUSE,Usp15,Ubiquitin carboxyl-terminal hydrolase 15,0.0,14393.1,
660,Q3UJD6,Q3UJD6,UBP19_MOUSE,Usp19,Ubiquitin carboxyl-terminal hydrolase 19,0.0,12171.8,
661,Q9ES63,Q9ES63,UBP29_MOUSE,Usp29,Ubiquitin carboxyl-terminal hydrolase 29,0.0,34809.6,
662,Q80TQ2,Q80TQ2,CYLD_MOUSE,Cyld,Ubiquitin carboxyl-terminal hydrolase CYLD,0.0,65041.0,
663,Q8CB27,Q8CB27,OTU1_MOUSE,Yod1,Ubiquitin thioesterase OTU1,0.0,0.0,
664,Q8R1K1,Q8R1K1,UBAC2_MOUSE,Ubac2,Ubiquitin-associated domain-containing protein 2,0.0,24803.9,
665,P61079;P61080;P62838,P61079;P61080;P62838,UB2D1_MOUSE;UB2D2_MOUSE;UB2D3_MOUSE,Ube2d1;Ube2d2;Ube2d3,Ubiquitin-conjugating enzyme E2 D3,0.0,17579.6,
666,Q8BGR9,Q8BGR9,UBCP1_MOUSE,Ublcp1,Ubiquitin-like domain-containing CTD phosphatase 1,0.0,379893.0,
667,Q02053,P31254;Q02053,UBA1_MOUSE,Uba1,Ubiquitin-like modifier-activating enzyme 1,0.0,30152.9,
668,Q9WTI7,Q9WTI7,MYO1C_MOUSE,Myo1c,Unconventional myosin-Ic,0.0,45026.1,
669,Q9CWU4,Q9CWU4,CA052_MOUSE,0,UPF0690 protein C1orf52 homolog,0.0,80972.9,
670,P52623,P52623,UCK1_MOUSE,Uck1,Uridine-cytidine kinase 1,0.0,37972.2,
671,Q91YL3,Q91YL3,UCKL1_MOUSE,Uckl1,Uridine-cytidine kinase-like 1,0.0,18917.2,
672,Q91W86,Q91W86,VPS11_MOUSE,Vps11,Vacuolar protein sorting-associated protein 11 homolog,0.0,32495.5,
673,Q8C0E2,Q8C0E2,VP26B_MOUSE,Vps26b,Vacuolar protein sorting-associated protein 26B,0.0,42749.5,
674,Q9D2N9,Q9D2N9,VP33A_MOUSE,Vps33a,Vacuolar protein sorting-associated protein 33A,0.0,4431.52,
675,Q5KU39,Q5KU39,VPS41_MOUSE,Vps41,Vacuolar protein sorting-associated protein 41 homolog,0.0,27190.5,
676,Q8CCB4,Q8CCB4,VPS53_MOUSE,Vps53,Vacuolar protein sorting-associated protein 53 homolog,0.0,60355.3,
677,O35633,O35633,VIAAT_MOUSE,Slc32a1,Vesicular inhibitory amino acid transporter,0.0,41739.7,
678,Q9Z1G3,Q9Z1G3,VATC1_MOUSE,Atp6v1c1,V-type proton ATPase subunit C 1,0.0,20368.7,
679,Q9DAJ4,Q9DAJ4,WDR83_MOUSE,Wdr83,WD repeat domain-containing protein 83,0.0,78089.8,
680,Q91V09,Q91V09,WDR13_MOUSE,Wdr13,WD repeat-containing protein 13,0.0,59586.6,
681,Q9ERF3,Q9ERF3,WDR61_MOUSE,Wdr61,WD repeat-containing protein 61,0.0,42737.1,
682,Q7TMQ7,Q7TMQ7,WDR91_MOUSE,Wdr91,WD repeat-containing protein 91,0.0,20026.6,
683,Q923D5,Q923D5,WBP11_MOUSE,Wbp11,WW domain-binding protein 11,0.0,107750.0,
684,Q924H7,Q924H7,WAC_MOUSE,Wac,WW domain-containing adapter protein with coiled-coil,0.0,90816.1,
685,Q91WL8,Q91WL8,WWOX_MOUSE,Wwox,WW domain-containing oxidoreductase,0.0,15593.9,
686,Q9R0I7,Q9R0I7,YLPM1_MOUSE,Ylpm1,YLP motif-containing protein 1,0.0,444515.0,
687,Q91YT7,Q91YT7,YTHD2_MOUSE,Ythdf2,YTH domain-containing family protein 2,0.0,42205.1,
688,Q8BYK6,P59326;Q8BYK6,YTHD3_MOUSE,Ythdf3,YTH domain-containing family protein 3,0.0,64491.0,
689,E9Q5K9,E9Q5K9,YTDC1_MOUSE,Ythdc1,YTH domain-containing protein 1,0.0,144636.0,
690,Q6NZF1,Q6NZF1,ZC11A_MOUSE,Zc3h11a,Zinc finger CCCH domain-containing protein 11A,0.0,33900.5,
691,E9Q784,E9Q784,ZC3HD_MOUSE,Zc3h13,Zinc finger CCCH domain-containing protein 13,0.0,129223.0,
692,Q8BJ05,Q8BJ05,ZC3HE_MOUSE,Zc3h14,Zinc finger CCCH domain-containing protein 14,0.0,169503.0,
693,Q8BYK8,Q8BYK8,ZC3H6_MOUSE,Zc3h6,Zinc finger CCCH domain-containing protein 6,0.0,58458.8,
694,Q9CYA6,Q9CYA6,ZCHC8_MOUSE,Zcchc8,Zinc finger CCHC domain-containing protein 8,0.0,202676.0,
695,O54836,O54836,ZMAT3_MOUSE,Zmat3,Zinc finger matrin-type protein 3,0.0,6884.93,
696,Q8BZ94,Q8BZ94,ZMAT4_MOUSE,Zmat4,Zinc finger matrin-type protein 4,0.0,89084.7,
697,Q8CIE2,Q8CIE2,ZMIZ2_MOUSE,Zmiz2,Zinc finger MIZ domain-containing protein 2,0.0,95606.5,
698,Q99PP2,Q99PP2,ZN318_MOUSE,Znf318,Zinc finger protein 318,0.0,54707.0,
699,Q8VD12,Q8VD12,Z385A_MOUSE,Znf385a,Zinc finger protein 385A,0.0,636163.0,
700,Q8BXJ8,Q8BXJ8,Z385B_MOUSE,Znf385b,Zinc finger protein 385B,0.0,193360.0,
701,Q61464,Q61464,ZN638_MOUSE,Znf638,Zinc finger protein 638,0.0,364900.0,
702,Q9D2D7,Q9D2D7,ZN687_MOUSE,Znf687,Zinc finger protein 687,0.0,71656.1,
703,A2A761;B2KFW1;E9PW05;E9PYI1;E9QAG8;P08043;P10078;P10755;P15620;P16372;P17141;Q07230;Q0VAW7;Q3TDE8;Q571J5;Q61116;Q6A085;Q6GQR8;Q6P5C7;Q7TSH9;Q80W31;Q810A1;Q8BI99;Q8BLM0;Q8C827;Q8K083;Q8R0T2;Q9EQB9;Q9ERR8;Q9ERU3,E9PYI1;E9QAG8;Q8K083;A2A761;P10078;P15620;P16372;P17141;Q571J5;Q8C827;Q9EQB9;Q9ERU3;B2KFW1;E9PW05;P08043;P10755;Q07230;Q0VAW7;Q3TDE8;Q61116;Q6A085;Q6GQR8;Q7TSH9;Q80W31;Q810A1;Q8BI99;Q8BLM0;Q8R0T2;Q9ERR8;Q6P5C7,KLF8_MOUSE;Z354C_MOUSE;ZFP14_MOUSE;ZFP28_MOUSE;ZFP2_MOUSE;ZFP37_MOUSE;ZFP54_MOUSE;ZFP58_MOUSE;ZFP62_MOUSE;ZFP69_MOUSE;ZN112_MOUSE;ZN184_MOUSE;ZN235_MOUSE;ZN271_MOUSE;ZN287_MOUSE;ZN319_MOUSE;ZN329_MOUSE;ZN431_MOUSE;ZN536_MOUSE;ZN568_MOUSE;ZN569_MOUSE;ZN629_MOUSE;ZN691_MOUSE;ZN728_MOUSE;ZN768_MOUSE;ZN879_MOUSE;ZNF18_MOUSE;ZNF22_MOUSE;ZSC20_MOUSE;ZSCA2_MOUSE,Klf8;Zfp14;Zfp184;Zfp2;Zfp28;Zfp37;Zfp54;Zfp58;Zfp62;Zfp69;Znf112;Znf18;Znf22;Znf235;Znf271;Znf287;Znf319;Znf329;Znf354c;Znf431;Znf536;Znf568;Znf569;Znf629;Znf691;Znf728;Znf768;Znf879;Zscan2;Zscan20,Zinc finger protein 69,0.0,15570.2,
704,Q9R020,Q9R020,ZRAB2_MOUSE,Zranb2,Zinc finger Ran-binding domain-containing protein 2,0.0,306572.0,
705,Q3UHH1,Q3UHH1,ZSWM8_MOUSE,Zswim8,Zinc finger SWIM domain-containing protein 8,0.0,28675.6,
706,Q8VEB6,Q8VEB6,RNZ1_MOUSE,Elac1,Zinc phosphodiesterase ELAC protein 1,0.0,19575.2,
707,Q61701,Q61701,ELAV4_MOUSE,Elavl4,ELAV-like protein 4,5547.69,1033040.0,
708,Q8BG05,Q8BG05,ROA3_MOUSE,Hnrnpa3,Heterogeneous nuclear ribonucleoprotein A3,68709.2,9675990.0,
709,O88569,O88569,ROA2_MOUSE,Hnrnpa2b1,Heterogeneous nuclear ribonucleoproteins A2/B1,55965.5,7208330.0,
710,Q8VIJ6,Q8VIJ6,SFPQ_MOUSE,Sfpq,"Splicing factor, proline- and glutamine-rich",57444.1,6762790.0,
711,A2BDX3,A2BDX3,MOCS3_MOUSE,Mocs3,Adenylyltransferase and sulfurtransferase MOCS3,29310.3,3151910.0,
712,Q9JKN6,Q9JKN6,NOVA1_MOUSE,Nova1,RNA-binding protein Nova-1,23208.0,2490600.0,
713,Q8CGF7,Q8CGF7,TCRG1_MOUSE,Tcerg1,Transcription elongation regulator 1,9959.66,965739.0,
714,Q9CXY6,Q9CXY6,ILF2_MOUSE,Ilf2,Interleukin enhancer-binding factor 2,14716.3,1379840.0,
715,P49312,P49312,ROA1_MOUSE,Hnrnpa1,Heterogeneous nuclear ribonucleoprotein A1,179770.0,16600500.0,
716,Q6ZPZ3,Q6ZPZ3,ZC3H4_MOUSE,Zc3h4,Zinc finger CCCH domain-containing protein 4,4613.01,418662.0,
717,P61979,P61979,HNRPK_MOUSE,Hnrnpk,Heterogeneous nuclear ribonucleoprotein K,219858.0,18805500.0,
718,O54941,O54941,SMCE1_MOUSE,Smarce1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,11652.4,935332.0,
719,Q99K48,Q99K48,NONO_MOUSE,Nono,Non-POU domain-containing octamer-binding protein,83209.9,6338640.0,
720,Q3U0V1,Q3U0V1,FUBP2_MOUSE,Khsrp,Far upstream element-binding protein 2,233372.0,16180100.0,
721,Q921F2,Q921F2,TADBP_MOUSE,Tardbp,TAR DNA-binding protein 43,249993.0,16630700.0,
722,Q8BTV2,Q8BTV2,CPSF7_MOUSE,Cpsf7,Cleavage and polyadenylation specificity factor subunit 7,25602.1,1675240.0,
723,P62317,P62317,SMD2_MOUSE,Snrpd2,Small nuclear ribonucleoprotein Sm D2,10559.7,661540.0,
724,Q9Z204,Q9Z204,HNRPC_MOUSE,Hnrnpc,Heterogeneous nuclear ribonucleoproteins C1/C2,43818.2,2365800.0,
725,P56959,P56959,FUS_MOUSE,Fus,RNA-binding protein FUS,52832.3,2833570.0,
726,Q7TSY6,Q7TSY6,CELF4_MOUSE,Celf4,CUGBP Elav-like family member 4,18245.8,974360.0,
727,Q8VDP4,Q8VDP4,CCAR2_MOUSE,Ccar2,Cell cycle and apoptosis regulator protein 2,47656.8,2496500.0,
728,Q8BTF8,Q8BTF8,RALYL_MOUSE,Ralyl,RNA-binding Raly-like protein,9214.41,469773.0,
729,Q91WJ8,Q91WJ8,FUBP1_MOUSE,Fubp1,Far upstream element-binding protein 1,61727.4,3092780.0,
730,O88532,O88532,ZFR_MOUSE,Zfr,Zinc finger RNA-binding protein,18827.1,891858.0,
731,Q8CH18,Q8CH18,CCAR1_MOUSE,Ccar1,Cell division cycle and apoptosis regulator protein 1,33879.8,1486900.0,
732,O88291,O88291,ZN326_MOUSE,Znf326,DBIRD complex subunit ZNF326,19563.5,848699.0,
733,Q61136,Q61136,PRP4B_MOUSE,Prpf4b,Serine/threonine-protein kinase PRP4 homolog,2882.39,124140.0,
734,Q80W14,Q80W14,PR40B_MOUSE,Prpf40b,Pre-mRNA-processing factor 40 homolog B,8686.85,361206.0,
735,Q8K310,Q8K310,MATR3_MOUSE,Matr3,Matrin-3,133417.0,5143400.0,
736,Q9DBR1,Q9DBR1,XRN2_MOUSE,Xrn2,5'-3' exoribonuclease 2,12649.7,450210.0,
737,Q00PI9,Q00PI9,HNRL2_MOUSE,Hnrnpul2,Heterogeneous nuclear ribonucleoprotein U-like protein 2,43681.2,1548070.0,
738,Q99PV0,Q99PV0,PRP8_MOUSE,Prpf8,Pre-mRNA-processing-splicing factor 8,5979.02,208942.0,
739,Q60749,Q60749;Q9R226;Q9WU01,KHDR1_MOUSE,Khdrbs1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",40446.9,1409030.0,
740,Q8JZX4,Q8JZX4,SPF45_MOUSE,Rbm17,Splicing factor 45,24041.8,803756.0,
741,Q9Z130,Q9Z130,HNRDL_MOUSE,Hnrnpdl,Heterogeneous nuclear ribonucleoprotein D-like,14348.8,479647.0,
742,Q8R081,Q8R081,HNRPL_MOUSE,Hnrnpl,Heterogeneous nuclear ribonucleoprotein L,52137.6,1736600.0,
743,Q9D824,Q9D824,FIP1_MOUSE,Fip1l1,Pre-mRNA 3'-end-processing factor FIP1,15307.3,488282.0,
744,Q99NB9,Q99NB9,SF3B1_MOUSE,Sf3b1,Splicing factor 3B subunit 1,12674.2,402320.0,
745,Q80YR5,Q80YR5,SAFB2_MOUSE,Safb2,Scaffold attachment factor B2,6774.42,203699.0,
746,Q8BKI2,Q8BKI2,TNR6B_MOUSE,Tnrc6b,Trinucleotide repeat-containing gene 6B protein,6430.35,191349.0,
747,Q8C181,Q8C181,MBNL2_MOUSE,Mbnl2,Muscleblind-like protein 2,31398.8,925359.0,
748,B2RY56,B2RY56,RBM25_MOUSE,Rbm25,RNA-binding protein 25,30047.1,848649.0,
749,Q99M28,Q99M28,RNPS1_MOUSE,Rnps1,RNA-binding protein with serine-rich domain 1,16231.9,419104.0,
750,Q8CGZ0,Q8CGZ0,CHERP_MOUSE,Cherp,Calcium homeostasis endoplasmic reticulum protein,35102.5,892366.0,
751,Q569Z6,Q569Z6,TR150_MOUSE,Thrap3,Thyroid hormone receptor-associated protein 3,15988.1,397001.0,
752,Q99PU8,Q99PU8,DHX30_MOUSE,Dhx30,ATP-dependent RNA helicase DHX30,14880.8,367588.0,
753,Q9CQF3,Q9CQF3,CPSF5_MOUSE,Nudt21,Cleavage and polyadenylation specificity factor subunit 5,70120.7,1719500.0,
